cand_id,cycle,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,state_abbreviation,district,incumbent,party,primary_votes,runoff_votes,general_votes,ge_runoff_election_votes,winner,total_votes,totalspend,costvote
H0CA31111,2010,5590.32,0.0,1750.0,9255.49,0.0,0.0,10835.57,0.0,0.0,0.0,0.0,0.0,274.99,CA,31,0,R,5256.0,0.0,14740.0,0.0,0,19996.0,27706.37,1.3855956191238248
H0CA32101,2010,9368.27,0.0,16319.61,0.0,0.0,4399.88,300.0,0.0,0.0,0.0,0.0,0.0,1639249.44,CA,32,1,D,21718.0,0.0,77759.0,0.0,0,99477.0,1669637.2,16.784153120821898
H0CA32101,2012,210569.36,7669.01,221468.82,34643.48,0.0,2510.11,560.0,0.0,0.0,0.0,0.0,0.0,48617.76,CA,27,1,D,50203.0,0.0,154191.0,0.0,1,204394.0,526038.5399999999,2.5736496178948496
H0CA32101,2014,371378.08,1575.99,82606.02,400.0,0.0,9950.05,500.0,0.0,0.0,0.0,0.0,0.0,16354.03,CA,27,1,D,39915.0,0.0,75728.0,0.0,1,115643.0,482764.17,4.1746078015962915
H0CA32325,2010,5590.32,0.0,1750.0,9255.49,0.0,0.0,10835.57,0.0,0.0,0.0,0.0,0.0,0.0,CA,32,0,R,11567.0,0.0,31697.0,0.0,0,43264.0,27431.38,0.6340463202662722
H0CA33174,2010,5590.32,0.0,1750.0,9255.49,0.0,0.0,10835.57,0.0,0.0,0.0,0.0,0.0,0.0,CA,33,0,R,3785.0,0.0,21342.0,0.0,0,25127.0,27431.38,1.0917093166713099
H0CA35112,2010,7330.32,2046.67,17364.29,9255.49,0.0,0.0,10835.57,0.0,0.0,0.0,0.0,0.0,0.0,CA,35,0,R,7343.0,0.0,25561.0,0.0,0,32904.0,46832.34,1.4233023340627278
H0CA36136,2010,93537.37,3158.18,8000.0,33370.13,0.0,2383.45,0.0,0.0,0.0,0.0,0.0,0.0,24807.68,CA,36,0,R,16679.0,0.0,66706.0,0.0,0,83385.0,165256.81,1.981852971157882
H0CA37159,2010,1808541.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7079.94,CA,37,0,R,9894.0,0.0,29159.0,0.0,0,39053.0,1815621.04,46.491205285125346
H0CA38116,2010,5590.32,0.0,1750.0,9255.49,0.0,0.0,10835.57,0.0,0.0,0.0,0.0,0.0,0.0,CA,38,0,R,10324.0,0.0,30883.0,0.0,0,41207.0,27431.38,0.6656970903001918
H0CA39080,2010,25869.6,0.0,15727.84,5363.0,84.0,661.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,CA,39,0,R,17062.0,0.0,42037.0,0.0,0,59099.0,47963.44,0.8115778608775106
H0CA39098,2010,5590.32,0.0,1750.0,9255.49,0.0,0.0,10835.57,0.0,0.0,0.0,0.0,0.0,0.0,CA,39,0,AIP,342.0,0.0,5334.0,0.0,0,5676.0,27431.38,4.832871740662439
H0CA42191,2010,5590.32,0.0,1750.0,9255.49,0.0,0.0,10835.57,0.0,0.0,0.0,0.0,0.0,0.0,CA,42,0,L,371.0,0.0,12115.0,0.0,0,12486.0,27431.38,2.196971007528432
H0CA45012,2004,219755.8,18962.94,169670.45,169686.35,8250.0,54137.84,17649.09,0.0,0.0,0.0,0.0,0.0,19101.97,CA,50,1,R,81854.0,0.0,169025.0,0.0,1,250879.0,677214.44,2.699366786379091
H0CA45053,2010,511826.13,19511.03,47588.78,1100921.42,26300.0,94587.74,0.0,0.0,0.0,0.0,0.0,0.0,44197.34,CA,45,0,D,33235.0,0.0,87141.0,0.0,0,120376.0,1844932.44,15.32641423539576
H0CA46069,2010,8141.56,0.0,1250.63,2879.2,0.0,2618.17,50.0,0.0,0.0,0.0,0.0,0.0,1628.4,CA,46,0,D,19735.0,0.0,84940.0,0.0,0,104675.0,16567.96,0.1582800095533795
H0CA47067,2010,382965.46,27778.06,130381.39,731055.95,56553.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13178.28,CA,47,0,R,10706.0,0.0,37679.0,0.0,0,48385.0,1341913.0599999998,27.734071716441044
H0CA47083,2010,17374.48,0.0,2400.0,39789.0,0.0,3443.0,4221.0,0.0,0.0,0.0,0.0,0.0,33477.81,CA,47,0,IND,0.0,0.0,7443.0,0.0,0,7443.0,100705.29,13.530201531640467
H0CA48024,2010,873055.53,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149155.75,CA,49,1,R,60447.0,0.0,119088.0,0.0,1,179535.0,1023261.28,5.699508619489237
H0CA48024,2012,1045593.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3138.02,CA,49,1,R,71329.0,0.0,159725.0,0.0,1,231054.0,1048731.5,4.538902161399499
H0CA48024,2014,1933304.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23183.74,CA,49,1,R,56558.0,0.0,98161.0,0.0,1,154719.0,1956487.8,12.645426870649372
